itemID,item ,catagory ,vis_test ,pat_test ,donated_by ,date_listed ,picture ,ppe_needed ,Restriced_item ,training_needed 
1,Titan Cordless Drill Standard & Masonary,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0010.JPG,TRUE,TRUE,FALSE
2,Titan SDS Drill & Bits,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0008.JPG,TRUE,TRUE,FALSE
3,Hilti SF180A Cordless Drill Standard & Masonary,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0009.JPG,TRUE,TRUE,FALSE
4,B&D Corded Drill,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0017.JPG,TRUE,TRUE,FALSE
5,Unbranded Cordless Drill,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0016.JPG,TRUE,TRUE,FALSE
6,B&D Handheld Saw 18v Cordless,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0015.JPG,TRUE,TRUE,FALSE
7,Wolf Handheld Saw,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0014.JPG,TRUE,TRUE,FALSE
8,Wolf Saphire Handheld Saw,Portable Electric Handtools,On/Off switch does not meet regs,,,15/07/2022,,TRUE,TRUE,FALSE
9,Erbouer Handheld Saw,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0013.JPG,TRUE,TRUE,FALSE
10,Clarke Corded Multitool Cutter,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0019.JPG,TRUE,TRUE,FALSE
11,B&D Corded Powered Hacksaw,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0034.JPG,TRUE,TRUE,FALSE
12,Pro Corded Jigsaw,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0021.JPG,TRUE,TRUE,FALSE
13,Bosch Corded Jigsaw,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0020.JPG,TRUE,TRUE,FALSE
14,Evolution Corded Jigsaw,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0022.JPG,TRUE,TRUE,FALSE
15,Erbouer Router,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0033.JPG,TRUE,TRUE,FALSE
16,Pro Belt Sander,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0032.JPG,TRUE,TRUE,TRUE
17,Parkside Belt sander,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0031.JPG,TRUE,TRUE,TRUE
18,B&D Belt Sander,Portable Electric Handtools,good,,,15/07/2022,,TRUE,TRUE,TRUE
19,Erbouer Orbital Sander,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0011.JPG,TRUE,TRUE,FALSE
20,Einhell Chainsaw,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0039.JPG,TRUE,TRUE,TRUE
21,Workzone 12v Rotary Tool,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0036.JPG,TRUE,TRUE,FALSE
22,B&D Powered Screwdriver?,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0038.JPG,FALSE,FALSE,FALSE
23,Bosch Heat Gun,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0035.JPG,FALSE,FALSE,FALSE
24,Parkside Hot Glue Gun,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0037.JPG,FALSE,FALSE,FALSE
25,Titan Wallpaper Stripper,Portable Electric Handtools,needs attention,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0026.JPG,FALSE,FALSE,FALSE
26,Battery Charger,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0028.JPG,FALSE,FALSE,FALSE
27,Parker Invertor Arc Welder,Portable Electric Handtools,good,,,15/07/2022,,TRUE,TRUE,TRUE
28,Parkside Angle Grinder,Portable Electric Handtools,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0025.JPG,TRUE,TRUE,FALSE
29,Unbranded Angle Grinder,Portable Electric Handtools,Cable repair required,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0023.JPG,TRUE,TRUE,FALSE
30,"Tyme Machines, The Cub, Wood lathe",Benchtop Fixed Plant Machinery,good,,GMS,18/07/2022,,TRUE,TRUE,TRUE
31,"Clarke Woodworker, Wood Lathe",Benchtop Fixed Plant Machinery,Not commissioned,,GMS,18/07/2022,,TRUE,TRUE,TRUE
32,Unbranded Wood Lathe,Benchtop Fixed Plant Machinery,Not commissioned,,GMS,18/07/2022,,TRUE,TRUE,TRUE
33,Unbranded Wood Lathe + Tools,Benchtop Fixed Plant Machinery,Not commissioned,,GR,18/07/2022,,TRUE,TRUE,TRUE
34,"SIP 10"" Table Saw",Benchtop Fixed Plant Machinery,needs attention,,GR,18/07/2022,,TRUE,TRUE,FALSE
35,Erbauer Cross Cut Mitre Saw,Benchtop Fixed Plant Machinery,Broken Guard,,,18/07/2022,,TRUE,TRUE,FALSE
36,Sealey Pillar Drill,Benchtop Fixed Plant Machinery,Safety Cut Off?,,FC,18/07/2022,,TRUE,TRUE,FALSE
37,Silverline 350w Drill Press,Benchtop Fixed Plant Machinery,Not Working,,,18/07/2022,,TRUE,TRUE,FALSE
38,Clarke Woodworker Belt & Disc Sander,Benchtop Fixed Plant Machinery,needs attention,,,18/07/2022,,TRUE,TRUE,FALSE
39,P Performance BSW Scroll Saw,Benchtop Fixed Plant Machinery,needs attention,,,18/07/2022,,TRUE,TRUE,FALSE
40,P Performance Powe 150mm Bench grinder & Sander,Benchtop Fixed Plant Machinery,needs attention,,,18/07/2022,,TRUE,TRUE,FALSE
41,Sealey Bench Grinder,Benchtop Fixed Plant Machinery,needs attention,,,18/07/2022,,TRUE,TRUE,FALSE
42,Parkside Bench Grinder,Benchtop Fixed Plant Machinery,needs attention,,,18/07/2022,,TRUE,TRUE,FALSE
43,P Performance 125mm Bench Grinder,Benchtop Fixed Plant Machinery,needs attention,,,18/07/2022,,TRUE,TRUE,FALSE
44,Bosch Router & Table/Bench POF 400,Benchtop Fixed Plant Machinery,needs attention,,,18/07/2022,,TRUE,TRUE,FALSE
45,MAC ALLISTER Router & Table/Bench,Benchtop Fixed Plant Machinery,needs attention,,,18/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0040.JPG,TRUE,FALSE,FALSE
46,Axminster Model Engineer Metalwork Lathe,Benchtop Fixed Plant Machinery,good,,Tim,18/07/2022,,TRUE,TRUE,TRUE
47,Industrial Vacuum Cleaner,Miscellaneous,good,,,18/07/2022,,FALSE,FALSE,FALSE
48,3 Trail Lights,Miscellaneous,good,,,18/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0027.JPG,FALSE,FALSE,FALSE
49,Qualcast Garden Strimmer,Miscellaneous,good,,,18/07/2022,,FALSE,FALSE,FALSE
50,Extention Lead,Miscellaneous,good,,,15/07/2022,https://github.com/JBLACK2889/MENS-SHED-SOC09109/blob/main/Equipment%20July%2022/IMG_0029.JPG,FALSE,FALSE,FALSE
